"","caseID","q1","q2r1","q2r2","q2r3","q2r4","q2r5","q2r6","q2r7","q2r8","q2r9","q2r10","q4r1","q4r2","q4r3","q4r4","q4r5","q4r6","q4r7","q4r8","q4r9","q4r10","q4r11","q5r1","q11","q12","q13r1","q13r2","q13r3","q13r4","q13r5","q13r6","q13r7","q13r8","q13r9","q13r10","q13r11","q13r12","q24r1","q24r2","q24r3","q24r4","q24r5","q24r6","q24r7","q24r8","q24r9","q24r10","q24r11","q24r12","q25r1","q25r2","q25r3","q25r4","q25r5","q25r6","q25r7","q25r8","q25r9","q25r10","q25r11","q25r12","q26r18","q26r3","q26r4","q26r5","q26r6","q26r7","q26r8","q26r9","q26r10","q26r11","q26r12","q26r13","q26r14","q26r15","q26r16","q26r17","q48","q49","q50r1","q50r2","q50r3","q50r4","q50r5","q54","q55","q56","q57"
"1378",1378,2,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,0,0,4,3,1,1,2,2,2,2,3,4,4,2,2,2,5,1,3,4,4,2,1,1,4,2,1,1,2,1,3,1,2,3,1,2,4,1,1,1,1,2,1,3,2,1,2,1,2,6,1,4,3,1,4,4,3,3,1,0,0,0,0,1,2,1,NA
"2109",2109,2,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,4,5,1,3,4,4,1,1,4,4,4,2,3,2,3,1,2,3,3,1,2,3,4,1,1,1,2,2,1,1,3,4,1,2,1,1,4,3,3,1,4,3,4,1,1,2,1,3,2,5,1,1,3,1,4,2,0,1,0,0,0,1,2,4,2
"2307",2307,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,5,5,1,3,4,4,4,2,4,3,3,4,3,4,3,2,2,2,3,2,3,5,3,2,3,3,3,4,4,5,4,5,4,4,2,3,2,1,3,1,3,3,3,3,4,3,4,4,4,5,5,2,3,4,2,1,0,1,1,0,0,1,2,7,1
"1103",1103,4,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,4,3,2,2,4,1,4,1,4,2,4,2,4,1,6,1,1,5,2,2,2,2,5,2,2,2,2,4,2,2,3,5,3,2,2,2,3,5,4,3,5,3,2,4,4,2,2,5,2,3,5,5,4,2,4,2,1,0,0,0,0,1,2,5,2
"610",610,2,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,3,4,1,3,4,4,4,1,4,4,2,4,4,1,4,1,2,2,1,1,2,2,5,3,2,1,1,2,1,2,1,5,1,1,3,3,1,1,2,5,2,1,2,2,1,2,1,3,1,6,1,2,2,1,3,2,1,0,0,0,0,1,2,6,2
"1543",1543,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,4,2,1,4,4,1,4,2,4,4,4,3,2,1,5,1,3,5,4,1,1,2,3,1,1,1,2,2,1,1,1,6,3,1,1,1,1,1,6,5,3,6,5,5,5,2,3,5,2,6,6,4,3,4,6,1,1,0,0,0,0,1,2,9,2
"1373",1373,8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,3,6,2,4,2,2,4,1,4,4,4,4,3,4,4,1,3,5,4,1,2,1,6,3,2,2,3,4,2,4,3,6,2,4,2,2,2,2,5,3,3,5,3,5,5,4,4,3,4,5,5,5,4,3,4,1,0,0,0,1,0,1,2,1,NA
"1375",1375,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,4,4,1,2,4,2,2,2,4,4,4,2,4,1,1,1,1,3,2,2,1,1,6,1,1,1,1,3,1,1,1,6,1,2,5,3,2,2,1,2,1,3,1,1,1,1,2,6,1,2,1,1,2,2,3,2,1,0,0,0,0,1,2,12,NA
"1428",1428,9,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,4,2,3,3,4,3,4,1,4,4,4,2,4,2,3,3,5,2,4,1,2,2,3,2,2,1,2,2,1,1,2,5,2,2,2,1,1,2,2,3,4,4,3,3,5,5,4,5,2,5,2,2,3,3,4,1,0,0,0,0,1,1,2,14,2
"2242",2242,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,3,6,1,3,4,2,4,2,4,4,2,2,4,2,3,2,6,6,3,2,1,1,4,6,3,3,2,3,2,1,2,3,1,3,1,2,2,2,3,1,1,2,1,3,4,3,3,1,3,3,2,3,4,3,4,1,0,1,0,0,0,1,2,11,1
"1588",1588,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,4,4,1,3,3,2,4,1,4,3,3,2,2,3,4,1,2,4,4,1,3,2,6,1,3,1,3,2,3,3,3,4,2,3,3,3,3,1,6,2,4,4,3,6,4,2,6,6,4,4,6,3,6,3,2,2,1,0,0,0,0,1,2,7,2
"1193",1193,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,NA,3,5,2,4,4,4,4,2,4,4,4,3,4,4,4,1,4,2,5,3,2,1,5,2,2,2,3,3,3,3,3,4,3,3,3,3,3,3,5,2,4,5,4,5,4,2,5,6,4,4,5,3,5,4,4,2,1,0,0,0,0,1,2,6,2
"1553",1553,5,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,1,4,3,1,3,4,1,4,1,4,4,4,3,3,2,3,1,2,1,3,1,1,3,3,3,1,1,1,2,2,2,2,4,2,2,4,2,4,3,5,2,5,4,5,5,5,3,5,1,2,3,5,5,5,2,2,3,0,0,0,1,0,1,2,12,1
"568",568,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5,5,1,2,3,3,2,2,4,4,2,1,4,4,2,1,1,3,5,1,3,3,4,2,3,2,3,6,3,4,4,6,2,3,1,3,2,1,6,1,6,3,5,6,4,5,5,2,6,4,6,5,3,4,3,1,0,0,1,0,0,1,2,7,1
"1731",1731,7,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,4,4,1,1,4,3,4,1,2,4,2,1,2,1,5,1,1,6,3,1,2,1,6,1,1,1,1,1,2,1,1,6,1,3,1,1,2,2,1,2,2,5,1,1,2,2,1,4,3,1,2,1,2,1,6,4,0,0,0,0,1,1,2,11,2
"1860",1860,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,5,1,4,4,4,4,3,4,4,4,3,3,2,4,1,2,4,4,1,2,1,3,1,6,2,1,3,3,1,3,6,1,4,4,2,5,1,1,1,5,3,3,3,6,2,4,4,3,3,4,2,3,4,4,1,0,0,1,0,0,1,2,14,1
"163",163,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,3,6,1,4,4,1,4,1,4,4,4,2,4,2,4,3,3,4,5,1,2,2,5,2,4,1,2,2,4,2,2,5,3,2,1,1,2,3,1,3,2,3,4,1,5,1,5,6,2,4,4,1,3,4,4,2,1,0,0,0,0,1,2,8,1
"24",24,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,NA,3,6,2,2,4,2,4,1,4,2,2,1,4,4,4,1,6,3,3,1,2,2,5,2,2,1,2,4,3,3,2,4,3,4,3,2,3,4,3,1,4,4,3,3,4,4,4,6,4,4,4,3,5,3,4,2,1,0,0,0,0,1,2,7,2
"2347",2347,5,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,3,4,1,4,4,1,4,2,3,4,1,4,4,1,4,1,1,4,2,1,1,2,6,1,2,1,2,2,2,2,1,5,2,2,2,2,1,3,2,1,2,2,3,3,2,2,1,5,2,3,2,2,2,1,3,1,1,0,0,0,0,1,2,7,1
"493",493,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,NA,2,5,2,4,4,2,4,2,4,4,3,4,4,2,4,3,4,4,5,2,3,2,3,4,2,3,3,3,3,4,4,5,3,4,3,3,3,3,2,3,4,4,5,4,4,3,3,3,4,4,4,3,3,4,2,4,0,0,1,0,0,1,2,6,2
"306",306,2,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,NA,2,6,1,1,4,3,4,1,2,3,3,4,4,4,3,2,1,3,2,3,3,3,4,1,1,2,4,3,2,3,4,3,6,4,1,4,1,3,2,1,3,4,6,1,6,3,5,6,6,2,3,2,3,2,3,2,0,1,0,0,0,2,2,7,2
"862",862,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,NA,2,6,1,4,4,1,4,3,4,4,4,1,4,1,5,2,2,3,5,3,3,3,2,2,3,3,2,2,3,2,2,5,2,2,2,2,2,4,2,1,2,3,2,1,3,4,2,6,3,1,4,2,2,2,3,2,1,0,0,0,0,1,2,11,1
"413",413,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,NA,3,5,4,1,4,2,1,2,4,4,2,2,2,4,3,1,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,4,2,1,0,0,0,0,5,2,9,2
"616",616,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,2,6,1,1,4,4,4,1,4,1,1,4,4,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,4,6,1,1,1,4,6,1,1,1,6,1,6,1,1,3,1,3,2,1,0,0,0,0,1,2,2,2
"1074",1074,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,3,5,1,2,4,1,3,1,4,3,4,4,2,1,2,2,2,1,3,3,2,2,2,3,4,2,4,4,2,1,3,3,2,4,3,5,2,2,2,1,2,4,4,2,4,3,4,6,5,5,4,1,5,4,3,2,1,0,0,0,0,1,2,9,2
"1114",1114,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,3,1,2,3,2,2,1,2,2,2,2,2,2,5,2,3,4,4,3,3,3,5,2,3,3,4,4,3,3,4,4,4,4,3,4,3,3,2,4,3,2,4,4,4,2,2,3,4,4,2,3,3,3,6,2,1,0,0,0,0,2,2,2,2
"1031",1031,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,3,6,1,1,4,3,4,1,4,3,4,1,4,3,5,1,1,6,3,1,2,2,6,2,3,2,2,2,2,2,2,5,2,4,3,2,2,4,2,2,2,2,4,3,2,5,3,6,4,2,3,3,2,2,3,2,1,0,0,0,0,1,2,9,1
"12",12,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,2,6,1,4,4,2,4,1,4,4,4,2,4,4,2,1,1,2,4,2,2,3,2,1,6,3,3,2,1,3,3,4,1,3,3,1,2,3,5,4,3,3,3,6,6,3,3,2,6,3,3,3,3,3,3,2,0,1,0,0,0,2,2,2,1
"1245",1245,2,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,3,3,1,3,4,3,3,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,2,1,1,3,1,4,1,1,1,4,3,1,1,1,1,3,1,3,3,0,1,0,0,0,2,1,6,1
"1354",1354,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,2,6,1,2,3,4,4,1,4,4,4,4,4,4,1,1,3,4,6,1,6,5,3,5,4,3,4,2,2,1,2,4,3,2,2,2,4,2,6,3,5,5,5,5,5,1,5,5,5,3,5,2,3,3,1,2,1,0,0,0,0,1,2,11,NA
"710",710,3,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,3,3,2,2,2,2,1,1,2,1,1,1,1,1,2,3,2,2,1,2,1,2,2,1,3,1,2,1,2,2,2,1,1,3,2,2,3,1,2,2,1,2,2,2,2,1,2,3,1,1,1,1,1,1,5,2,1,0,0,0,0,1,2,8,1
"530",530,8,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,3,6,1,1,1,1,1,1,4,3,2,2,2,1,2,1,4,1,5,1,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,4,1,1,1,1,1,1,1,1,2,3,4,1,2,3,1,1,0,0,0,0,3,2,6,1
"1663",1663,6,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,4,5,1,4,4,1,4,1,4,4,4,4,4,4,5,1,1,5,3,2,2,2,6,2,1,2,2,2,2,2,2,5,2,2,2,2,2,2,4,1,4,3,2,4,4,1,2,6,4,3,4,2,3,2,2,2,0,0,0,0,1,1,2,7,2
"1564",1564,4,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,0,4,3,1,1,3,2,3,1,3,4,3,2,3,4,3,1,1,2,2,1,2,1,4,1,1,2,1,3,2,2,1,1,3,3,1,1,4,2,3,4,1,2,2,1,4,1,2,6,1,2,2,1,1,1,4,2,1,0,0,0,0,1,2,3,2
